ROW_ID	EXACT_PATH	SYMBOL_OR_CONCEPT	CURRENT_ROLE	CLASSIFICATION	STRING_STATUS_SEMANTIC_AUTHORITY	DISPOSITION	CITATION
H9-026	frontend/src/observability/components/LiveRenderJobList.tsx	Loaded-list failure rate	Client-local ratio over the currently loaded page	METRIC	NO	LABEL_SCOPE_OR_SOURCE_SERVER_METRIC	frontend/src/observability/components/LiveRenderJobList.tsx:135
H9-027	frontend/src/observability/components/SystemMetrics.tsx	Queue depth gauge	Operator display of active plus queued job counts	METRIC	NO	DO_NOT_TREAT_AS_CAPACITY	frontend/src/observability/components/SystemMetrics.tsx:143
H9-028	platform-app/src/main/java/com/example/platform/web/render/RenderWorkerQueueController.java	Natron queue snapshot depth	Read-only POC queue depth and queued items	METRIC	NO	DIAGNOSTIC_ONLY	platform-app/src/main/java/com/example/platform/web/render/RenderWorkerQueueController.java:25
H9-029	observability-module/src/main/java/com/example/platform/observability/app/PlatformTraceCorrelationFilter.java	TraceKeys and request/trace correlation filter	Correlation propagation into response headers and MDC	TRACE	NO	RETAIN_WITH_BOUNDED_KEYS	observability-module/src/main/java/com/example/platform/observability/app/PlatformTraceCorrelationFilter.java:18
H9-030	render-module/src/main/java/com/example/platform/render/domain/StateTransitionTraceNode.java	StateTransitionTraceNode	Trace copy of typed render-job transitions	TRACE	NO	DERIVE_FROM_APPLICATION_EVENT	render-module/src/main/java/com/example/platform/render/domain/StateTransitionTraceNode.java:10
H9-031	render-module/src/main/java/com/example/platform/render/infrastructure/providerruntime/trace/ProviderDecisionTraceNode.java	ProviderDecisionTraceNode	Diagnostic record of provider candidates and selection explanation	TRACE	NO	DIAGNOSTIC_NOT_SELECTION_AUTHORITY	render-module/src/main/java/com/example/platform/render/infrastructure/providerruntime/trace/ProviderDecisionTraceNode.java:10
H9-032	frontend/src/observability/models/types.ts	TraceNode/TraceGraph	Frontend trace read model	TRACE	NO	READ_ONLY_TRACE_PROJECTION	frontend/src/observability/models/types.ts:93
H9-033	observability-module/src/main/java/com/example/platform/observability/monitoring/SentryMonitoringService.java	Sentry exception and message capture	Error diagnostic sink with contextual tags	LOG	NO	RETAIN_AS_DIAGNOSTIC_SINK	observability-module/src/main/java/com/example/platform/observability/monitoring/SentryMonitoringService.java:35
H9-034	audit-compliance-module/src/main/java/com/example/platform/audit/logging/AdminAuditLogger.java	ADMIN_AUDIT structured logger	Structured administrative audit log emission	LOG	NO	RETAIN_NO_RUNTIME_STATE_DERIVATION	audit-compliance-module/src/main/java/com/example/platform/audit/logging/AdminAuditLogger.java:25
H9-035	audit-compliance-module/src/main/java/com/example/platform/audit/app/AuditEventHandler.java	Render and artifact audit event records	Durable audit projection from application events	LOG	NO	RETAIN_AS_AUDIT_RECORD_NOT_SOURCE_STATE	audit-compliance-module/src/main/java/com/example/platform/audit/app/AuditEventHandler.java:37
H9-036	user-analytics-module/src/main/java/com/example/platform/analytics/domain/UserBehaviorEvent.java	UserBehaviorEvent	User analytics event log	LOG	NO	RETAIN_AS_ANALYTICS_EVENT_NOT_RUNTIME_FACT	user-analytics-module/src/main/java/com/example/platform/analytics/domain/UserBehaviorEvent.java:6
H9-037	remote-render-worker/src/main/java/com/example/platform/remoterender/app/RemoteRenderService.java	Remote render structured SLF4J messages	Operational job, provider, callback, and failure logs	LOG	NO	DIAGNOSTIC_ONLY	remote-render-worker/src/main/java/com/example/platform/remoterender/app/RemoteRenderService.java:35
H9-038	platform-app/src/main/java/com/example/platform/health/HealthController.java	/healthz and /readyz health results	Application liveness/readiness signal from bounded checks	HEALTH_SIGNAL	YES	DO_NOT_USE_AS_H1_RUNTIME_AVAILABILITY	platform-app/src/main/java/com/example/platform/health/HealthController.java:26
H9-039	platform-app/src/main/java/com/example/platform/lifecycle/TemporalWorkerHealthIndicator.java	TemporalWorkerHealthIndicator	Temporal worker-factory health signal	HEALTH_SIGNAL	NO	DO_NOT_INFER_WORKER_FABRIC_CAPACITY	platform-app/src/main/java/com/example/platform/lifecycle/TemporalWorkerHealthIndicator.java:25
H9-040	platform-app/src/main/java/com/example/platform/production/PlatformReadinessHealthIndicator.java	PlatformReadinessHealthIndicator	Database and migration readiness signal	HEALTH_SIGNAL	NO	RETAIN_AS_DEPLOYMENT_READINESS	platform-app/src/main/java/com/example/platform/production/PlatformReadinessHealthIndicator.java:31
H9-041	platform-app/src/main/java/com/example/platform/production/EgressProxySmokeHealthIndicator.java	EgressProxySmokeHealthIndicator	Optional external-path smoke signal	HEALTH_SIGNAL	NO	BOUNDED_SIGNAL_NOT_PROVIDER_AVAILABILITY	platform-app/src/main/java/com/example/platform/production/EgressProxySmokeHealthIndicator.java:28
H9-042	remote-render-worker/src/main/java/com/example/platform/remoterender/app/WorkerRegistryService.java	Heartbeat receipt time	Evidence that a registered worker sent a recent heartbeat	HEALTH_SIGNAL	NO	PROJECT_THROUGH_H1_FRESHNESS_POLICY	remote-render-worker/src/main/java/com/example/platform/remoterender/app/WorkerRegistryService.java:38
H9-043	sandbox-isolation-module/src/main/java/com/example/platform/sandbox/SandboxRuntimeCapabilities.java	Sandbox capability detection evidence	Ephemeral mechanism probe with observed-at timestamp	BOUNDED_OBSERVATION	NO	CONSUME_AS_H1_RUNTIME_DEPENDENCY_OBSERVATION	sandbox-isolation-module/src/main/java/com/example/platform/sandbox/SandboxRuntimeCapabilities.java:7
H9-044	sandbox-isolation-module/src/main/java/com/example/platform/sandbox/SandboxExecutionObservation.java	SandboxExecutionObservation/SandboxCleanupObservation/SandboxExecutionResult	Bounded process, cleanup, capture, and failure evidence	BOUNDED_OBSERVATION	NO	PROJECT_TO_EXECUTION_AND_FAILURE_VIEWS	sandbox-isolation-module/src/main/java/com/example/platform/sandbox/SandboxExecutionObservation.java:6
H9-045	ffmpeg-provider-module/src/main/java/com/example/platform/ffmpeg/FfmpegRuntimeProbeResult.java	FfmpegRuntimeProbeResult	Exact bounded FFmpeg version/build probe plus provider probe result	BOUNDED_OBSERVATION	NO	PRIVATE_DETAILS_DIAGNOSTIC_ONLY	ffmpeg-provider-module/src/main/java/com/example/platform/ffmpeg/FfmpegRuntimeProbeResult.java:7
H9-046	render-module/src/main/java/com/example/platform/render/infrastructure/MediaProbeResult.java	MediaProbeResult	Bounded media-content inspection result	BOUNDED_OBSERVATION	NO	KEEP_DISTINCT_FROM_RUNTIME_AVAILABILITY	render-module/src/main/java/com/example/platform/render/infrastructure/MediaProbeResult.java:5
H9-047	platform-app/src/main/java/com/example/platform/ingest/preflight/ffprobe/FFprobeMediaMetadataProvider.java	FFprobeProbeResult and MediaProbeSummary	Bounded ingest metadata observation	BOUNDED_OBSERVATION	NO	KEEP_DISTINCT_FROM_PROVIDER_RUNTIME_PROBE	platform-app/src/main/java/com/example/platform/ingest/preflight/ffprobe/FFprobeMediaMetadataProvider.java:218
H9-048	render-module/src/main/java/com/example/platform/render/domain/RenderJobStatus.java	RenderJobStatus and RenderJobStateMachine	Canonical render application lifecycle	APPLICATION_STATUS	NO	PROJECT_WITHOUT_REDEFINING	render-module/src/main/java/com/example/platform/render/domain/RenderJobStatus.java:27
H9-049	render-module/src/main/java/com/example/platform/render/domain/RenderJobPlan.java	RenderJobPlan/RenderStepStatus	Render application plan and step progress state	APPLICATION_STATUS	NO	SOURCE_RENDER_PROGRESS_VIEW	render-module/src/main/java/com/example/platform/render/domain/RenderJobPlan.java:9
H9-050	render-module/src/main/java/com/example/platform/render/infrastructure/RenderResultFailureReason.java	RenderResultFailureReason	Typed render orchestration failure taxonomy	APPLICATION_STATUS	NO	MAP_TO_RUNTIME_FAILURE_VIEW_WITH_LAYER	render-module/src/main/java/com/example/platform/render/infrastructure/RenderResultFailureReason.java:13
H9-051	sandbox-isolation-module/src/main/java/com/example/platform/sandbox/SandboxFailureCode.java	SandboxFailureCode	Typed sandbox infrastructure failure taxonomy	APPLICATION_STATUS	NO	MAP_WITH_SANDBOX_LAYER	sandbox-isolation-module/src/main/java/com/example/platform/sandbox/SandboxFailureCode.java:4
H9-052	scheduler-module/src/main/java/com/example/platform/scheduler/domain/ScheduledJobRun.java	JobStatus/ScheduledJobRun	Scheduler application run lifecycle and retry count	APPLICATION_STATUS	NO	PROJECT_AS_SCHEDULER_STATUS_ONLY	scheduler-module/src/main/java/com/example/platform/scheduler/domain/ScheduledJobRun.java:6
H9-053	render-module/src/main/java/com/example/platform/render/app/RenderWorkerQueueService.java	POC provider-specific in-process queue	Application queue state for Natron, Remotion, and Blender jobs	APPLICATION_STATUS	NO	DIAGNOSTIC_UNTIL_CLEAN_FORWARD_REPLACEMENT	render-module/src/main/java/com/example/platform/render/app/RenderWorkerQueueService.java:12
H9-054	cloud-resource-module/src/main/java/com/example/platform/cloudresource/domain/CloudBucket.java	CloudBucket status and cloud resource catalog	Cloud resource application record, not worker resource capacity	APPLICATION_STATUS	NO	KEEP_OUT_OF_H1_RESOURCE_VIEW	cloud-resource-module/src/main/java/com/example/platform/cloudresource/domain/CloudBucket.java:3
H9-055	observability-module/src/main/java/com/example/platform/observability/domain/ProviderIncidentRecord.java	ProviderIncidentRecord	Operator-managed incident lifecycle	APPLICATION_STATUS	YES	TYPE_STATUS_AND_SEVERITY_BEFORE_UI_USE	observability-module/src/main/java/com/example/platform/observability/domain/ProviderIncidentRecord.java:8
H9-056	provider-plugin-runtime-module/src/main/java/com/example/platform/providerplugin/ProviderPluginHost.java	Provider plugin host loaded/disabled/unloaded lifecycle and load failures	Plugin-host application lifecycle, not provider runtime availability	APPLICATION_STATUS	NO	PROJECT_HOST_DIAGNOSTICS_ONLY	provider-plugin-runtime-module/src/main/java/com/example/platform/providerplugin/ProviderPluginHost.java:19
H9-057	observability-module/src/main/java/com/example/platform/observability/app/ThirdPartyProviderHealthService.java	Hard-coded monitored provider catalog and provider-type switch	Observability locally defines provider inventory and type identity	SHADOW_RUNTIME_AUTHORITY	NO	DELETE_AFTER_H1_TYPED_PROVIDER_SOURCE	observability-module/src/main/java/com/example/platform/observability/app/ThirdPartyProviderHealthService.java:33
H9-058	observability-module/src/main/java/com/example/platform/observability/domain/ProviderSlaMetric.java	ProviderSlaMetric.isHealthy/healthStatus	Metric thresholds are promoted to provider health labels and degraded events	SHADOW_RUNTIME_AUTHORITY	NO	REPLACE_WITH_H1_FACT_PLUS_EXPLICIT_POLICY_VIEW	observability-module/src/main/java/com/example/platform/observability/domain/ProviderSlaMetric.java:20
H9-059	observability-module/src/main/java/com/example/platform/observability/domain/ProviderCircuitBreakerState.java	ProviderCircuitBreakerState and local transition logic	Stringly in-memory provider runtime circuit state derived inside observability	SHADOW_RUNTIME_AUTHORITY	YES	MOVE_CONTROL_AUTHORITY_OUT_OF_OBSERVABILITY	observability-module/src/main/java/com/example/platform/observability/domain/ProviderCircuitBreakerState.java:8
H9-060	render-module/src/main/java/com/example/platform/render/infrastructure/ProviderStatus.java	ProviderStatus and ProviderEligibility	Provider maturity labels directly authorize dispatch and compatibility	SHADOW_RUNTIME_AUTHORITY	NO	RECONCILE_WITH_H1_PROVIDER_COMPATIBILITY	render-module/src/main/java/com/example/platform/render/infrastructure/ProviderStatus.java:23
H9-061	render-module/src/main/java/com/example/platform/render/infrastructure/RenderProviderRegistry.java	RenderProviderHealthCheck registry	Render-local mutable provider health registry	SHADOW_RUNTIME_AUTHORITY	NO	REPLACE_WITH_H1_PROVIDER_RUNTIME_FACTS	render-module/src/main/java/com/example/platform/render/infrastructure/RenderProviderRegistry.java:19
H9-062	render-module/src/main/java/com/example/platform/render/infrastructure/RenderProviderSelectionPolicy.java	Health-aware provider selection/fallback/resolver	Health signals filter or even fail-open to unhealthy provider choices	SHADOW_RUNTIME_AUTHORITY	NO	REMOVE_AFTER_H1_COMPATIBILITY_AND_ELIGIBILITY	render-module/src/main/java/com/example/platform/render/infrastructure/RenderProviderSelectionPolicy.java:58
H9-063	render-module/src/main/java/com/example/platform/render/infrastructure/providerruntime/health/ProviderHealthMonitor.java	ProviderHealthMonitor/ProviderHealthStatus	Execution failures create an independent provider-health cooldown authority	SHADOW_RUNTIME_AUTHORITY	NO	REPLACE_WITH_TYPED_H1_OBSERVATION_AND_POLICY	render-module/src/main/java/com/example/platform/render/infrastructure/providerruntime/health/ProviderHealthMonitor.java:17
H9-064	render-module/src/main/java/com/example/platform/render/infrastructure/providerruntime/engine/ProviderRuntimeEngine.java	ProviderRuntimeEngine provider filtering and fallback	Second provider compatibility and runtime selection engine	SHADOW_RUNTIME_AUTHORITY	NO	DELETE_OR_REDUCE_TO_H1_CONSUMER	render-module/src/main/java/com/example/platform/render/infrastructure/providerruntime/engine/ProviderRuntimeEngine.java:54
H9-065	render-module/src/main/java/com/example/platform/render/infrastructure/farm/RenderWorkerRegistryService.java	RenderWorkerStatus and farm registry availability	Legacy render-local worker lifecycle and stale-heartbeat authority	SHADOW_RUNTIME_AUTHORITY	NO	MIGRATE_TO_H1_WORKER_RUNTIME_FACTS	render-module/src/main/java/com/example/platform/render/infrastructure/farm/RenderWorkerRegistryService.java:9
H9-066	render-module/src/main/java/com/example/platform/render/infrastructure/farm/RenderJobLeaseService.java	Render job lease, attempt, provider eligibility, and requeue lifecycle	Legacy execution/lease/provider compatibility authority overlaps H1	SHADOW_RUNTIME_AUTHORITY	NO	CLEAN_FORWARD_TO_H1_EXECUTION_ATTEMPT_AND_RESERVATION	render-module/src/main/java/com/example/platform/render/infrastructure/farm/RenderJobLeaseService.java:17
H9-067	remote-render-worker/src/main/java/com/example/platform/remoterender/app/WorkerRegistryService.java	WorkerStatus and WorkerRegistryService lifecycle	Remote worker module owns a second worker registry and status lifecycle	SHADOW_RUNTIME_AUTHORITY	NO	MIGRATE_TO_H1_WORKER_RUNTIME_IDENTITY_AND_AVAILABILITY	remote-render-worker/src/main/java/com/example/platform/remoterender/app/WorkerRegistryService.java:14
H9-068	remote-render-worker/src/main/java/com/example/platform/remoterender/domain/RemoteRenderJob.java	RemoteRenderJob string lifecycle	Remote module owns a second execution lifecycle using raw strings	SHADOW_RUNTIME_AUTHORITY	YES	MIGRATE_TO_H1_EXECUTION_ATTEMPT_AND_RENDER_APPLICATION_STATUS	remote-render-worker/src/main/java/com/example/platform/remoterender/domain/RemoteRenderJob.java:9
H9-069	render-module/src/main/java/com/example/platform/render/infrastructure/remote/RemoteRenderDispatcher.java	Remote dispatcher WorkerInfo status and stale selection	Render-local remote worker status, liveness pruning, and selection authority	SHADOW_RUNTIME_AUTHORITY	YES	MIGRATE_TO_H1_WORKER_RUNTIME_VIEW_AND_ASSIGNMENT	render-module/src/main/java/com/example/platform/render/infrastructure/remote/RemoteRenderDispatcher.java:136
H9-070	render-module/src/main/java/com/example/platform/render/infrastructure/remote/RemoteRenderDispatcher.java	RemoteJobTracker and raw callback status/progress	Callback string directly changes execution terminality and worker accounting	SHADOW_RUNTIME_AUTHORITY	YES	NORMALIZE_TO_TYPED_H1_OBSERVATION_THEN_PROJECT	render-module/src/main/java/com/example/platform/render/infrastructure/remote/RemoteRenderDispatcher.java:104
H9-071	platform-app/src/main/java/com/example/platform/web/remote/RemoteWorkerController.java	Raw Map callback transport status	Untyped status, progress, and errors cross the operator/runtime API boundary	SHADOW_RUNTIME_AUTHORITY	YES	REPLACE_WITH_TYPED_CALLBACK_CONTRACT	platform-app/src/main/java/com/example/platform/web/remote/RemoteWorkerController.java:65
H9-072	render-module/src/main/java/com/example/platform/render/infrastructure/providerruntime/fallback/FailureClassificationEngine.java	Message-parsed failure and retry/fallback decisions	Exception text controls runtime retry and provider fallback behavior	SHADOW_RUNTIME_AUTHORITY	YES	REPLACE_WITH_TYPED_FAILURE_ALGEBRA	render-module/src/main/java/com/example/platform/render/infrastructure/providerruntime/fallback/FailureClassificationEngine.java:18
H9-073	render-module/src/main/java/com/example/platform/render/infrastructure/farm/RenderWorkerRegistration.java	Render worker CPU, memory, GPU, and disk capacity declaration	Legacy render worker independently declares host/device capacity	SHADOW_RESOURCE_AUTHORITY	NO	MIGRATE_TO_H1_HOST_AND_DEVICE_CAPACITY	render-module/src/main/java/com/example/platform/render/infrastructure/farm/RenderWorkerRegistration.java:8
H9-074	render-module/src/main/java/com/example/platform/render/infrastructure/farm/RenderWorkerHeartbeat.java	Heartbeat resource and active-job payload	Heartbeat overwrites CPU, memory, GPU count/type, disk-free, and active-job fields	SHADOW_RESOURCE_AUTHORITY	NO	DROP_RESOURCE_AUTHORITY_FROM_HEARTBEAT	render-module/src/main/java/com/example/platform/render/infrastructure/farm/RenderWorkerHeartbeat.java:8
H9-075	render-module/src/main/java/com/example/platform/render/infrastructure/farm/RenderWorkerRecord.java	RenderWorkerRecord.canAcceptJobs	maxConcurrentJobs minus activeJobCount is treated as schedulable capacity	SHADOW_RESOURCE_AUTHORITY	NO	REPLACE_WITH_H1_RESERVATION_FIRST_CAPACITY	render-module/src/main/java/com/example/platform/render/infrastructure/farm/RenderWorkerRecord.java:31
H9-076	remote-render-worker/src/main/java/com/example/platform/remoterender/app/WorkerRegistryService.java	WorkerInfo maxConcurrentJobs/activeJobs/isAvailable	Remote registry invents free resource capacity from job counts	SHADOW_RESOURCE_AUTHORITY	NO	REPLACE_WITH_H1_CAPACITY_AND_RESERVATION_VIEW	remote-render-worker/src/main/java/com/example/platform/remoterender/app/WorkerRegistryService.java:54
H9-077	render-module/src/main/java/com/example/platform/render/infrastructure/remote/RemoteRenderDispatcher.java	Dispatcher maxConcurrentJobs/activeJobs/isAvailable	Render dispatcher independently computes free worker slots	SHADOW_RESOURCE_AUTHORITY	NO	REPLACE_WITH_H1_ASSIGNMENT_AND_RESERVATION_FACTS	render-module/src/main/java/com/example/platform/render/infrastructure/remote/RemoteRenderDispatcher.java:148
H9-078	observability-module/src/main/java/com/example/platform/observability/domain/ProviderUsageMetric.java	ProviderUsageMetric estimatedCost/quota/costPerRequest	Observability record mixes operational requests with H5 cost and quota state	COMMERCIAL_SHADOW	NO	SPLIT_METRIC_FROM_H5_COMMERCIAL_FACTS	observability-module/src/main/java/com/example/platform/observability/domain/ProviderUsageMetric.java:8
H9-079	observability-module/src/main/java/com/example/platform/observability/app/ThirdPartyProviderHealthService.java	Local cost and quota accumulation	Observability mutates estimated cost, quota used, and quota remaining	COMMERCIAL_SHADOW	NO	DELETE_USE_H5_PROJECTION	observability-module/src/main/java/com/example/platform/observability/app/ThirdPartyProviderHealthService.java:124
H9-080	render-module/src/main/java/com/example/platform/render/app/RenderQuotaService.java	RenderQuotaService/QuotaUsageRepository	Render module owns a default quota limit and usage ledger	COMMERCIAL_SHADOW	NO	MIGRATE_TO_H5_QUOTA_AUTHORITY	render-module/src/main/java/com/example/platform/render/app/RenderQuotaService.java:10
H9-081	render-module/src/main/java/com/example/platform/render/infrastructure/billing/policy/PricingEngine.java	Render-local PricingEngine	Render module owns provider price, GPU multiplier, discounts, and final price	COMMERCIAL_SHADOW	NO	DELETE_USE_H5_PRICING_AND_BILLING_FACTS	render-module/src/main/java/com/example/platform/render/infrastructure/billing/policy/PricingEngine.java:11
H9-082	render-module/src/main/java/com/example/platform/render/app/governance/MeteringService.java	Render-local MeteringService	In-memory consumption event authority overlaps H5 usage facts	COMMERCIAL_SHADOW	NO	MIGRATE_TO_H5_USAGE_EMISSION_BOUNDARY	render-module/src/main/java/com/example/platform/render/app/governance/MeteringService.java:10
