TABLE	DOMAIN	CLASS	CANONICAL_AUTHORITY	TENANT_SCOPED	PRIMARY_ID	PROPOSED_ACTION
unified_graph_edge	platform	OPERATIONAL_STATE	platform	YES	id	NO_CHANGE
unified_graph_node	platform	OPERATIONAL_STATE	platform	YES	id	NO_CHANGE
unified_request_graph	platform	OPERATIONAL_STATE	platform	YES	id	NO_CHANGE
usage_meter	billing-module	OPERATIONAL_STATE	billing-module	YES	id	NO_CHANGE
usage_record	billing-module	OPERATIONAL_STATE	billing-module	YES	id	NO_CHANGE
user_behavior_event	identity-access-module	CANONICAL_STATE	identity-access-module	YES	id	NO_CHANGE
user_habits	identity-access-module	CANONICAL_STATE	identity-access-module	YES	id	NO_CHANGE
user_profile	identity-access-module	CANONICAL_STATE	identity-access-module	YES	id	NO_CHANGE
user_role_assignment	identity-access-module	CANONICAL_STATE	identity-access-module	YES	id	NO_CHANGE
user_segment	identity-access-module	CANONICAL_STATE	identity-access-module	YES	id	NO_CHANGE
user_workflow_definition	identity-access-module	CANONICAL_STATE	identity-access-module	YES	id	NO_CHANGE
user_workflow_definition_edge	identity-access-module	CANONICAL_STATE	identity-access-module	YES	id	NO_CHANGE
user_workflow_definition_node	identity-access-module	CANONICAL_STATE	identity-access-module	YES	id	NO_CHANGE
user_workflow_definition_version	identity-access-module	CANONICAL_STATE	identity-access-module	YES	id	NO_CHANGE
workflow_execution	workflow-module	CANONICAL_STATE	workflow-module	YES	id	NO_CHANGE
workspace	identity-access-module	CANONICAL_STATE	identity-access-module	YES	id	NO_CHANGE
workspace_entitlement_pool	identity-access-module	CANONICAL_STATE	identity-access-module	YES	id	NO_CHANGE
workspace_group	identity-access-module	CANONICAL_STATE	identity-access-module	YES	id	NO_CHANGE
workspace_group_member	identity-access-module	CANONICAL_STATE	identity-access-module	YES	id	NO_CHANGE
workspace_member	identity-access-module	CANONICAL_STATE	identity-access-module	YES	id	NO_CHANGE
workspace_member_entitlement_grant	identity-access-module	CANONICAL_STATE	identity-access-module	YES	id	NO_CHANGE
workspace_quota_allocation	identity-access-module	CANONICAL_STATE	identity-access-module	YES	id	NO_CHANGE
