TYPE	CURRENT_MODULE	CURRENT_PACKAGE	BEHAVIOR	ROLE	CANONICAL_AUTHORITY	AUTHORITY_OWNER	PERSISTENCE_OWNER	STORAGE_OWNER	FINAL_MODULE	FINAL_PACKAGE	ACTION	CALLER_COUNT	DB_TABLES_OR_COLUMNS	HISTORICAL_PIN_RELEVANCE	FINAL_LOCATION_VERIFIED	RATIONALE
ArtifactStateMachine	artifact-module	artifact.domain	ArtifactState transitions	STATE_MACHINE	NO	artifact-module	-	-	artifact-module	artifact.domain	KEEP	4	none	NO	PASS	kept
ArtifactStatus	artifact-module	artifact.domain	catalog status enum	ENUM	NO	artifact-module	-	-	artifact-module	artifact.domain	KEEP	7	artifact.status	NO	PASS	kept
ArtifactStorageIntegrityScanner	artifact-module	artifact.app	catalog checksum scan	INTEGRITY_SCAN	NO	artifact-module	artifact-module	storage-module	artifact-module	artifact.app	KEEP	3	artifact	NO	PASS	kept
ArtifactType	artifact-module	artifact.domain	type enum	ENUM	NO	artifact-module	-	-	artifact-module	artifact.domain	KEEP	5	none	NO	PASS	kept
AssetIntegrityMetrics	artifact-module	artifact.app	metrics	METRICS	NO	artifact-module	-	-	artifact-module	artifact.app	KEEP	2	none	NO	PASS	kept
CanonicalSerializer	artifact-module	artifact.domain	canonical serialization for hashing	SERIALIZER	NO	artifact-module	-	-	artifact-module	artifact.domain	KEEP	11	none	NO	PASS	kept
ContentDigest	storage-module	storage.contract	immutable SHA-256 content-integrity value (validation only)	INTEGRITY_PRIMITIVE	NO	shared-kernel	-	-	shared-kernel	shared.digest	MOVE	48	none (no table today)	YES (pinned digest)	PASS	tiny cross-domain immutable primitive; move to shared-kernel to kill timeline->storage debt (directive §5)
InMemoryArtifactCommitService	artifact-module	artifact.domain	in-memory commit impl (fallback)	CANONICAL_COMMIT_IMPL	NO	artifact-module	artifact-module	-	artifact-module	artifact.domain	SPLIT	1	artifact	NO	PASS	replaced by jOOQ ArtifactCommitRepository as primary; kept as test/in-memory fallback behind interface
InMemoryArtifactQueryService	artifact-module	artifact.domain	in-memory query impl	CANONICAL_QUERY_IMPL	NO	artifact-module	artifact-module	-	artifact-module	artifact.domain	SPLIT	1	artifact + artifact_replica	YES	PASS	replaced by jOOQ ArtifactQueryRepository as primary
McpMediaToolsController	platform-app	web.media	MCP endpoints	API	NO	platform-app	-	-	platform-app	web.media	KEEP	1	none	NO	PASS	unchanged (GCR-2) unless compile fallout
MediaAssetArtifactLink	media-module	media.domain.media	media_asset_artifact link domain	MEDIA_LINK	NO	media-module	media-module	-	media-module	media.domain.media	KEEP	3	media_asset_artifact	NO	PASS	link preserved; artifact side points to canonical artifact table
MediaStreamSourceBinding	timeline-module	timeline.semantics.clip	exact immutable semantic consumption pin (MediaAssetId+MediaStreamId+ArtifactId+ContentDigest+range)	TIMELINE_PIN	NO	timeline-module	-	-	timeline-module	timeline.semantics.clip	KEEP	8	none (pin lives in JSON; relational pin in artifact_pin)	YES	PASS	canonical pin carrier; ContentDigest import moves to shared-kernel
ProvenanceEdge/GraphProjection/Operation/RelationType/Validator	artifact-module	artifact.domain	provenance graph domain	PROVENANCE	NO	artifact-module	-	-	artifact-module	artifact.domain	KEEP	0	artifact_relation	NO	PASS	kept (full provenance foundation OUT of scope)
RenderArtifactQueryService	render-module	render.app	reads artifacts via StorageCatalogPort	RENDER_CONSUMER	NO	render-module	-	-	render-module	render.app	KEEP	2	artifact (read)	NO	PASS	downstream consumer
RenderArtifactRegistry	render-module	render.app.timeline	in-memory render artifact registry	RENDER_REGISTRY	NO	render-module	-	-	render-module	render.app.timeline	KEEP	2	none	NO	PASS	cache/registry; not canonical
RenderArtifactStorageService	render-module	render.infrastructure	uploads render output -> BlobStorage -> registerArtifact	RENDER_PRODUCER	NO	render-module	render-module	storage-module	render-module	render.infrastructure	EVOLVE	2	artifact (via port)	NO	PASS	registration routed through artifact-module commit port (no direct artifact table write)
RenderCacheArtifactFetcher/RenderCacheContentHasher/RenderCacheReuseValidator/RenderCacheUriResolver	render-module	render.app.timeline	execution cache	EXECUTION_CACHE	NO	render-module	-	-	render-module	render.app.timeline	KEEP	0	none	NO	PASS	cache; rebuildable; not Artifact authority
RenderJobExecutionService	render-module	render.app	render completion: publishes ArtifactCreatedEvent + writes artifact_graph	RENDER_EXECUTION	NO	render-module	render-module	-	render-module	render.app	KEEP	6	artifact_node/artifact_graph	NO	PASS	provenance graph writer stays render-side; artifact identity via port
ReplicaRole	artifact-module	artifact.domain	replica role enum	ENUM	NO	artifact-module	-	-	artifact-module	artifact.domain	KEEP	7	artifact_replica	NO	PASS	kept
SegmentArtifactUploadService/SegmentCachePublisher/MezzanineCachePublisher	render-module	render.app.timeline	segment/mezzanine cache publishing	EXECUTION_CACHE	NO	render-module	-	-	render-module	render.app.timeline	KEEP	0	none	NO	PASS	cache; not canonical
StorageCatalogPort	storage-module	storage.api	port for render artifact registration/query	PORT	NO	storage-module	storage-module	-	storage-module	storage.api	EVOLVE	2	artifact	NO	PASS	re-points to artifact-module-backed implementation
StorageCatalogService	storage-module	storage.app	registerArtifact/findArtifacts via ArtifactRepository + nested ArtifactRef	STORAGE_CATALOG	NO	storage-module	storage-module	storage-module	storage-module	storage.app	EVOLVE	2	artifact	NO	PASS	render-output registration re-pointed to artifact-module canonical commit service via port; nested ArtifactRef record replaced by typed ArtifactId
StorageObjectId/StorageReplicaId/StorageProviderId	storage-module	storage.contract	typed storage identity	STORAGE_IDENTITY	NO	storage-module	-	storage-module	storage-module	storage.contract	KEEP	0	storage_object/storage_reference	NO	PASS	physical-plane identity
StorageObjectLocation	storage-module	storage.contract.identity	object location value	STORAGE_DATA_PLANE	NO	storage-module	-	storage-module	storage-module	storage.contract.identity	KEEP	4	none	NO	PASS	kept
StorageObjectRef	storage-module	storage.domain	provider/bucket/objectKey tuple	STORAGE_DATA_PLANE	NO	storage-module	storage-module	storage-module	storage-module	storage.domain	KEEP	13	storage_object	NO	PASS	physical location; not identity
StorageReference	storage-module	storage.contract	physical storage reference (root/relative path, checksum, contentHash)	STORAGE_DATA_PLANE	NO	storage-module	storage-module	storage-module	storage-module	storage.contract	KEEP	25	storage_reference	NO	PASS	physical data-plane location; distinct from Artifact identity (directive §2)
TimelineAssetGcScheduler/TimelineAssetIntegrityScanner/TimelineAssetReferenceScanner/TimelineAssetUriResolver	render-module	render.app.timeline	timeline asset registry helpers	TIMELINE_SIDE	NO	render-module	-	-	render-module	render.app.timeline	KEEP	0	none	NO	PASS	not Artifact authority
TimelineAssetGcService	render-module	render.app.timeline	timeline document assetRegistry purge (representation-level)	TIMELINE_SIDE_GC	NO	render-module	-	-	render-module	render.app.timeline	KEEP	5	none (timeline docs)	NO	PASS	not Artifact authority; operates on timeline JSON only
TimelineAssetLifecycleService	render-module	render.app.timeline	timeline assetRegistry delete-check/tombstone	TIMELINE_SIDE_LIFECYCLE	NO	render-module	-	-	render-module	render.app.timeline	KEEP	3	none (timeline docs)	NO	PASS	not Artifact authority
TimelineRevisionService	timeline-module	timeline.app	E1b-gated revision record	REVISION_AUTHORITY	NO	timeline-module	timeline-module	-	timeline-module	timeline.app	EVOLVE	7	artifact_pin (registration)	YES	PASS	records artifact_pin rows for source-binding pins at revision creation; fail-closed validation wired
TimelineSourceReferenceValidator	timeline-module	timeline.app	validates binding vs media truth; artifact pin DEFERRED (debt #14)	REFERENCE_VALIDATOR	NO	timeline-module	-	-	timeline-module	timeline.app	EVOLVE	1	none (queries artifact port)	YES	PASS	gains artifact pin existence+digest validation via timeline-owned port (fail closed); debt #14 closed
