row_id	exact_path	symbol_or_component	current_callers	current_dependency_direction	current_runtime_role	current_authority_claim	phase_17_relevance	disposition	rationale
P17-L-014	docs/examples/opencue/local-docker-p2o0e/grpc-submission-strategy.md	grpc-submission-strategy	NONE_TRACKED_OR_DECLARATIVE_SURFACE	DECLARATIVE_OR_NO_TRACKED_CALLERS	delegated backend mechanism/evidence	OpenCue backend-internal authority only	CONTEXT_ONLY	DEFER	not required to close Phase 17 and does not become canonical authority
P17-L-015	docs/examples/opencue/local-docker-p2o0e/job-submission-discovery.md	job-submission-discovery	NONE_TRACKED_OR_DECLARATIVE_SURFACE	DECLARATIVE_OR_NO_TRACKED_CALLERS	delegated backend mechanism/evidence	OpenCue backend-internal authority only	CONTEXT_ONLY	DEFER	not required to close Phase 17 and does not become canonical authority
P17-L-016	docs/examples/opencue/local-docker-p2o0f/cjsl-discovery-notes.md	cjsl-discovery-notes	NONE_TRACKED_OR_DECLARATIVE_SURFACE	DECLARATIVE_OR_NO_TRACKED_CALLERS	delegated backend mechanism/evidence	OpenCue backend-internal authority only	CONTEXT_ONLY	DEFER	not required to close Phase 17 and does not become canonical authority
P17-L-017	docs/examples/opencue/local-docker-p2o0f/preview-artifact-summary.md	preview-artifact-summary	NONE_TRACKED_OR_DECLARATIVE_SURFACE	DECLARATIVE_OR_NO_TRACKED_CALLERS	delegated backend mechanism/evidence	OpenCue backend-internal authority only	CONTEXT_ONLY	DEFER	not required to close Phase 17 and does not become canonical authority
P17-L-018	docs/examples/opencue/local-docker-p2o0f/validation-outputs.md	validation-outputs	NONE_TRACKED_OR_DECLARATIVE_SURFACE	DECLARATIVE_OR_NO_TRACKED_CALLERS	delegated backend mechanism/evidence	OpenCue backend-internal authority only	CONTEXT_ONLY	DEFER	not required to close Phase 17 and does not become canonical authority
P17-L-019	docs/examples/opencue/render-execution-plan-mapping/README.md	README	NONE_TRACKED_OR_DECLARATIVE_SURFACE	DECLARATIVE_OR_NO_TRACKED_CALLERS	delegated backend mechanism/evidence	OpenCue backend-internal authority only	CONTEXT_ONLY	DEFER	not required to close Phase 17 and does not become canonical authority
P17-L-020	docs/examples/opencue/render-execution-plan-mapping/dependency-stage-splitting-example.md	dependency-stage-splitting-example	NONE_TRACKED_OR_DECLARATIVE_SURFACE	DECLARATIVE_OR_NO_TRACKED_CALLERS	delegated backend mechanism/evidence	OpenCue backend-internal authority only	CONTEXT_ONLY	DEFER	not required to close Phase 17 and does not become canonical authority
P17-L-021	docs/examples/opencue/render-execution-plan-mapping/failure-status-mapping-example.md	failure-status-mapping-example	NONE_TRACKED_OR_DECLARATIVE_SURFACE	DECLARATIVE_OR_NO_TRACKED_CALLERS	delegated backend mechanism/evidence	OpenCue backend-internal authority only	CONTEXT_ONLY	DEFER	not required to close Phase 17 and does not become canonical authority
P17-L-022	docs/examples/opencue/render-execution-plan-mapping/storage-strategy-comparison.md	storage-strategy-comparison	NONE_TRACKED_OR_DECLARATIVE_SURFACE	DECLARATIVE_OR_NO_TRACKED_CALLERS	delegated backend mechanism/evidence	OpenCue backend-internal authority only	CONTEXT_ONLY	DEFER	not required to close Phase 17 and does not become canonical authority
P17-L-023	docs/examples/provider-bindings/opencue.execution-environment-note.yaml	opencue.execution-environment-note	NONE_TRACKED_OR_DECLARATIVE_SURFACE	DECLARATIVE_OR_NO_TRACKED_CALLERS	deployment, build, configuration, or network mechanics	deployment mechanics only	DIRECT	REUSE_MECHANICS_ONLY	mechanics/evidence may be reused but cannot define Phase 17 semantics
P17-L-024	docs/extensions/02-sandbox-runtime.md	02-sandbox-runtime	NONE_TRACKED_OR_DECLARATIVE_SURFACE	DECLARATIVE_OR_NO_TRACKED_CALLERS	supporting/historical documentation	non-canonical supporting evidence	CONTEXT_ONLY	DEFER	not required to close Phase 17 and does not become canonical authority
P17-L-025	docs/operations/opencue-local-docker-job-submission-smoke-runbook.md	opencue-local-docker-job-submission-smoke-runbook	NONE_TRACKED_OR_DECLARATIVE_SURFACE	DECLARATIVE_OR_NO_TRACKED_CALLERS	delegated backend mechanism/evidence	OpenCue backend-internal authority only	CONTEXT_ONLY	DEFER	not required to close Phase 17 and does not become canonical authority
P17-L-026	docs/operations/opencue-local-docker-runtime-readiness-runbook.md	opencue-local-docker-runtime-readiness-runbook	NONE_TRACKED_OR_DECLARATIVE_SURFACE	DECLARATIVE_OR_NO_TRACKED_CALLERS	delegated backend mechanism/evidence	OpenCue backend-internal authority only	CONTEXT_ONLY	DEFER	not required to close Phase 17 and does not become canonical authority
P17-L-027	docs/operations/opencue-local-docker-runtime-smoke-runbook.md	opencue-local-docker-runtime-smoke-runbook	NONE_TRACKED_OR_DECLARATIVE_SURFACE	DECLARATIVE_OR_NO_TRACKED_CALLERS	delegated backend mechanism/evidence	OpenCue backend-internal authority only	CONTEXT_ONLY	DEFER	not required to close Phase 17 and does not become canonical authority
P17-L-028	docs/operations/opencue-local-docker-smoke-runbook.md	opencue-local-docker-smoke-runbook	NONE_TRACKED_OR_DECLARATIVE_SURFACE	DECLARATIVE_OR_NO_TRACKED_CALLERS	delegated backend mechanism/evidence	OpenCue backend-internal authority only	CONTEXT_ONLY	DEFER	not required to close Phase 17 and does not become canonical authority
P17-L-029	docs/operations/opencue-multiframe-multilayer-runbook.md	opencue-multiframe-multilayer-runbook	NONE_TRACKED_OR_DECLARATIVE_SURFACE	DECLARATIVE_OR_NO_TRACKED_CALLERS	delegated backend mechanism/evidence	OpenCue backend-internal authority only	CONTEXT_ONLY	DEFER	not required to close Phase 17 and does not become canonical authority
P17-L-030	docs/operations/opencue-render-execution-plan-mapping-runbook.md	opencue-render-execution-plan-mapping-runbook	NONE_TRACKED_OR_DECLARATIVE_SURFACE	DECLARATIVE_OR_NO_TRACKED_CALLERS	delegated backend mechanism/evidence	OpenCue backend-internal authority only	CONTEXT_ONLY	DEFER	not required to close Phase 17 and does not become canonical authority
P17-L-031	docs/platform/sandbox-layer.md	sandbox-layer	NONE_TRACKED_OR_DECLARATIVE_SURFACE	DECLARATIVE_OR_NO_TRACKED_CALLERS	supporting/historical documentation	non-canonical supporting evidence	CONTEXT_ONLY	DEFER	not required to close Phase 17 and does not become canonical authority
P17-L-032	docs/production-safety.md	production-safety	NONE_TRACKED_OR_DECLARATIVE_SURFACE	DECLARATIVE_OR_NO_TRACKED_CALLERS	supporting/historical documentation	non-canonical supporting evidence	CONTEXT_ONLY	DEFER	not required to close Phase 17 and does not become canonical authority
P17-L-033	docs/review/local-docker-opencue-job-submission-smoke-v0.md	local-docker-opencue-job-submission-smoke-v0	NONE_TRACKED_OR_DECLARATIVE_SURFACE	DECLARATIVE_OR_NO_TRACKED_CALLERS	delegated backend mechanism/evidence	OpenCue backend-internal authority only	CONTEXT_ONLY	DEFER	not required to close Phase 17 and does not become canonical authority
P17-L-034	docs/review/local-docker-opencue-shared-path-smoke-v0.md	local-docker-opencue-shared-path-smoke-v0	NONE_TRACKED_OR_DECLARATIVE_SURFACE	DECLARATIVE_OR_NO_TRACKED_CALLERS	delegated backend mechanism/evidence	OpenCue backend-internal authority only	CONTEXT_ONLY	DEFER	not required to close Phase 17 and does not become canonical authority
P17-L-035	docs/review/opencue-architecture-validation.md	opencue-architecture-validation	NONE_TRACKED_OR_DECLARATIVE_SURFACE	DECLARATIVE_OR_NO_TRACKED_CALLERS	delegated backend mechanism/evidence	OpenCue backend-internal authority only	CONTEXT_ONLY	DEFER	not required to close Phase 17 and does not become canonical authority
P17-L-036	docs/review/opencue-environment-phase1.md	opencue-environment-phase1	NONE_TRACKED_OR_DECLARATIVE_SURFACE	DECLARATIVE_OR_NO_TRACKED_CALLERS	delegated backend mechanism/evidence	OpenCue backend-internal authority only	CONTEXT_ONLY	DEFER	not required to close Phase 17 and does not become canonical authority
P17-L-037	docs/review/opencue-image-selection-runtime-readiness-v0.md	opencue-image-selection-runtime-readiness-v0	NONE_TRACKED_OR_DECLARATIVE_SURFACE	DECLARATIVE_OR_NO_TRACKED_CALLERS	delegated backend mechanism/evidence	OpenCue backend-internal authority only	CONTEXT_ONLY	DEFER	not required to close Phase 17 and does not become canonical authority
P17-L-038	docs/review/opencue-local-submit-feasibility.md	opencue-local-submit-feasibility	NONE_TRACKED_OR_DECLARATIVE_SURFACE	DECLARATIVE_OR_NO_TRACKED_CALLERS	delegated backend mechanism/evidence	OpenCue backend-internal authority only	CONTEXT_ONLY	DEFER	not required to close Phase 17 and does not become canonical authority
P17-L-039	docs/review/opencue-multiframe-multilayer-validation-v0.md	opencue-multiframe-multilayer-validation-v0	NONE_TRACKED_OR_DECLARATIVE_SURFACE	DECLARATIVE_OR_NO_TRACKED_CALLERS	delegated backend mechanism/evidence	OpenCue backend-internal authority only	CONTEXT_ONLY	DEFER	not required to close Phase 17 and does not become canonical authority
P17-L-040	docs/review/opencue-runtime-foundation.md	opencue-runtime-foundation	NONE_TRACKED_OR_DECLARATIVE_SURFACE	DECLARATIVE_OR_NO_TRACKED_CALLERS	delegated backend mechanism/evidence	OpenCue backend-internal authority only	CONTEXT_ONLY	DEFER	not required to close Phase 17 and does not become canonical authority
P17-L-041	docs/review/remotion-execution-policy-sandbox-design-v0.md	remotion-execution-policy-sandbox-design-v0	NONE_TRACKED_OR_DECLARATIVE_SURFACE	DECLARATIVE_OR_NO_TRACKED_CALLERS	supporting/historical documentation	non-canonical supporting evidence	CONTEXT_ONLY	DEFER	not required to close Phase 17 and does not become canonical authority
P17-L-042	docs/sandbox-security.md	sandbox-security	NONE_TRACKED_OR_DECLARATIVE_SURFACE	DECLARATIVE_OR_NO_TRACKED_CALLERS	supporting/historical documentation	non-canonical supporting evidence	CONTEXT_ONLY	DEFER	not required to close Phase 17 and does not become canonical authority
P17-L-043	b81d1227087d3dd4316948b0b05a7e1ea28515e1:extension-module/src/main/java/com/example/platform/extension/app/SandboxExecutionService.java	SandboxExecutionService	NONE_RETIRED_CLEAN_FORWARD	RETIRED	retired shadow sandbox surface	none; definition removed	DIRECT	DELETE_SHADOW	removed clean-forward; exact path is intentionally absent
P17-L-044	extension-module/src/main/java/com/example/platform/extension/domain/ToolExecutionSafetyPolicy.java	ToolExecutionSafetyPolicy	extension-module/src/main/java/com/example/platform/extension/app/ProcessToolRunner.java<br>extension-module/src/main/java/com/example/platform/extension/config/CliToolRegistryBootstrap.java<br>extension-module/src/main/java/com/example/platform/extension/domain/InvocationContract.java<br>extension-module/src/main/java/com/example/platform/extension/domain/ResourceRequirement.java<br>extension-module/src/main/java/com/example/platform/extension/domain/ToolDefinition.java<br>render-module/src/main/java/com/example/platform/render/integration/extension/ExtensionSandboxToolRunnerAdapter.java<br>extension-module/src/test/java/com/example/platform/extension/app/ToolRegistryTest.java<br>extension-module/src/test/java/com/example/platform/extension/infrastructure/DefaultProcessToolRunnerTest.java<br>render-module/src/main/java/com/example/platform/render/infrastructure/natron/NatronRenderProviderConfiguration.java<br>render-module/src/test/java/com/example/platform/render/api/CaptionTemplateRenderApiE2ESmokeTest.java<br>render-module/src/test/java/com/example/platform/render/app/caption/CaptionTemplateRenderDeliveryE2ESmokeTest.java<br>render-module/src/test/java/com/example/platform/render/app/caption/CaptionTemplateRenderE2ESmokeTest.java<br>render-module/src/test/java/com/example/platform/render/app/caption/CaptionTemplateRenderServiceTest.java<br>render-module/src/test/java/com/example/platform/render/app/timeline/TimelineRevisionRealRenderSmokeTest.java<br>render-module/src/test/java/com/example/platform/render/app/timeline/TimelineRevisionRenderServiceTest.java<br>render-module/src/test/java/com/example/platform/render/app/timeline/TimelineRevisionS3InputOutputRealRenderSmokeTest.java<br>render-module/src/test/java/com/example/platform/render/app/timeline/TimelineRevisionS3OutputRealRenderSmokeTest.java<br>render-module/src/test/java/com/example/platform/render/app/timeline/TimelineRevisionS3RealRenderSmokeTest.java<br>render-module/src/test/java/com/example/platform/render/app/timeline/compile/PlanBasedTimelineRevisionRenderSmokeTest.java<br>render-module/src/test/java/com/example/platform/render/app/timeline/compile/RenderCorrelationGraphPlanPropagationTest.java<br>render-module/src/test/java/com/example/platform/render/app/timeline/compile/TimelineRevisionRenderExecutionModeTest.java<br>render-module/src/test/java/com/example/platform/render/app/timeline/compile/TimelineRevisionRenderModeParityTest.java<br>render-module/src/test/java/com/example/platform/render/infrastructure/ProviderIntegrationSmokeTest.java<br>render-module/src/test/java/com/example/platform/render/infrastructure/ffmpeg/GoldenRenderE2ETest.java<br>render-module/src/test/java/com/example/platform/render/infrastructure/ffmpeg/GoldenRenderSmokeTest.java<br>render-module/src/test/java/com/example/platform/render/infrastructure/libass/LibassSubtitleCompositorTest.java<br>render-module/src/test/java/com/example/platform/render/infrastructure/plugin/FfmpegSelfDescriptionTest.java<br>render-module/src/test/java/com/example/platform/render/infrastructure/plugin/PluginCapabilityRegistryBoundaryTest.java<br>render-module/src/test/java/com/example/platform/render/integration/RealRenderSubtitleVerticalSliceIntegrationTest.java	CALLERS_DEPEND_ON_COMPONENT	delegates to canonical sandbox-isolation boundary or is an approved bounded environment probe	mechanics or probe evidence only; no sandbox authority	DIRECT	REUSE_MECHANICS_ONLY	retained surface is mechanics or probe only and does not own sandbox authority
P17-L-045	b81d1227087d3dd4316948b0b05a7e1ea28515e1:extension-module/src/main/java/com/example/platform/extension/runtime/sandbox/SandboxConfiguration.java	SandboxConfiguration	NONE_RETIRED_CLEAN_FORWARD	RETIRED	retired shadow sandbox surface	none; definition removed	DIRECT	DELETE_SHADOW	removed clean-forward; exact path is intentionally absent
P17-L-046	b81d1227087d3dd4316948b0b05a7e1ea28515e1:extension-module/src/main/java/com/example/platform/extension/runtime/sandbox/app/HttpSandboxWorkerAdapter.java	HttpSandboxWorkerAdapter	NONE_RETIRED_CLEAN_FORWARD	RETIRED	retired shadow sandbox surface	none; definition removed	DIRECT	DELETE_SHADOW	removed clean-forward; exact path is intentionally absent
P17-L-047	b81d1227087d3dd4316948b0b05a7e1ea28515e1:extension-module/src/main/java/com/example/platform/extension/runtime/sandbox/app/NoopSandboxWorkerAdapter.java	NoopSandboxWorkerAdapter	NONE_RETIRED_CLEAN_FORWARD	RETIRED	retired shadow sandbox surface	none; definition removed	DIRECT	DELETE_SHADOW	removed clean-forward; exact path is intentionally absent
P17-L-048	b81d1227087d3dd4316948b0b05a7e1ea28515e1:extension-module/src/main/java/com/example/platform/extension/runtime/sandbox/app/SandboxExecutionMode.java	SandboxExecutionMode	NONE_RETIRED_CLEAN_FORWARD	RETIRED	retired shadow sandbox surface	none; definition removed	DIRECT	DELETE_SHADOW	removed clean-forward; exact path is intentionally absent
P17-L-049	b81d1227087d3dd4316948b0b05a7e1ea28515e1:extension-module/src/main/java/com/example/platform/extension/runtime/sandbox/app/SandboxProperties.java	SandboxProperties	NONE_RETIRED_CLEAN_FORWARD	RETIRED	retired shadow sandbox surface	none; definition removed	DIRECT	DELETE_SHADOW	removed clean-forward; exact path is intentionally absent
P17-L-050	b81d1227087d3dd4316948b0b05a7e1ea28515e1:extension-module/src/main/java/com/example/platform/extension/runtime/sandbox/app/SandboxRuntimeService.java	SandboxRuntimeService	NONE_RETIRED_CLEAN_FORWARD	RETIRED	retired shadow sandbox surface	none; definition removed	DIRECT	DELETE_SHADOW	removed clean-forward; exact path is intentionally absent
P17-L-051	b81d1227087d3dd4316948b0b05a7e1ea28515e1:extension-module/src/main/java/com/example/platform/extension/runtime/sandbox/app/SandboxWorkerPort.java	SandboxWorkerPort	NONE_RETIRED_CLEAN_FORWARD	RETIRED	retired shadow sandbox surface	none; definition removed	DIRECT	DELETE_SHADOW	removed clean-forward; exact path is intentionally absent
P17-L-052	b81d1227087d3dd4316948b0b05a7e1ea28515e1:extension-module/src/main/java/com/example/platform/extension/runtime/sandbox/app/SandboxWorkerRequest.java	SandboxWorkerRequest	NONE_RETIRED_CLEAN_FORWARD	RETIRED	retired shadow sandbox surface	none; definition removed	DIRECT	DELETE_SHADOW	removed clean-forward; exact path is intentionally absent
P17-L-053	b81d1227087d3dd4316948b0b05a7e1ea28515e1:extension-module/src/main/java/com/example/platform/extension/runtime/sandbox/app/SandboxWorkerResult.java	SandboxWorkerResult	NONE_RETIRED_CLEAN_FORWARD	RETIRED	retired shadow sandbox surface	none; definition removed	DIRECT	DELETE_SHADOW	removed clean-forward; exact path is intentionally absent
P17-L-054	b81d1227087d3dd4316948b0b05a7e1ea28515e1:extension-module/src/main/java/com/example/platform/extension/runtime/sandbox/domain/DefaultSandboxSecurityPolicy.java	DefaultSandboxSecurityPolicy	NONE_RETIRED_CLEAN_FORWARD	RETIRED	retired shadow sandbox surface	none; definition removed	DIRECT	DELETE_SHADOW	removed clean-forward; exact path is intentionally absent
P17-L-055	b81d1227087d3dd4316948b0b05a7e1ea28515e1:extension-module/src/main/java/com/example/platform/extension/runtime/sandbox/domain/SandboxExecutor.java	SandboxExecutor	NONE_RETIRED_CLEAN_FORWARD	RETIRED	retired shadow sandbox surface	none; definition removed	DIRECT	DELETE_SHADOW	removed clean-forward; exact path is intentionally absent
P17-L-056	b81d1227087d3dd4316948b0b05a7e1ea28515e1:extension-module/src/main/java/com/example/platform/extension/runtime/sandbox/domain/SandboxSecurityPolicy.java	SandboxSecurityPolicy	NONE_RETIRED_CLEAN_FORWARD	RETIRED	retired shadow sandbox surface	none; definition removed	DIRECT	DELETE_SHADOW	removed clean-forward; exact path is intentionally absent
P17-L-057	b81d1227087d3dd4316948b0b05a7e1ea28515e1:extension-module/src/test/java/com/example/platform/extension/app/SandboxExecutionServiceTest.java	SandboxExecutionServiceTest	NONE_RETIRED_CLEAN_FORWARD	RETIRED	retired shadow sandbox surface	none; definition removed	CONTEXT_ONLY	DELETE_SHADOW	removed clean-forward; exact path is intentionally absent
P17-L-058	b81d1227087d3dd4316948b0b05a7e1ea28515e1:extension-module/src/test/java/com/example/platform/extension/runtime/internal/sandbox/app/HttpSandboxWorkerAdapterTest.java	HttpSandboxWorkerAdapterTest	NONE_RETIRED_CLEAN_FORWARD	RETIRED	retired shadow sandbox surface	none; definition removed	CONTEXT_ONLY	DELETE_SHADOW	removed clean-forward; exact path is intentionally absent
P17-L-059	b81d1227087d3dd4316948b0b05a7e1ea28515e1:extension-module/src/test/java/com/example/platform/extension/runtime/internal/sandbox/app/SandboxRuntimeServiceTest.java	SandboxRuntimeServiceTest	NONE_RETIRED_CLEAN_FORWARD	RETIRED	retired shadow sandbox surface	none; definition removed	CONTEXT_ONLY	DELETE_SHADOW	removed clean-forward; exact path is intentionally absent
P17-L-060	gitops/production/deployment-sandbox-worker.yaml	deployment-sandbox-worker	NONE_TRACKED_OR_DECLARATIVE_SURFACE	DECLARATIVE_OR_NO_TRACKED_CALLERS	deployment, build, configuration, or network mechanics	deployment mechanics only	DIRECT	REUSE_MECHANICS_ONLY	mechanics/evidence may be reused but cannot define Phase 17 semantics
P17-L-061	gitops/production/networkpolicy-sandbox-worker.yaml	networkpolicy-sandbox-worker	NONE_TRACKED_OR_DECLARATIVE_SURFACE	DECLARATIVE_OR_NO_TRACKED_CALLERS	deployment, build, configuration, or network mechanics	deployment mechanics only	DIRECT	REUSE_MECHANICS_ONLY	mechanics/evidence may be reused but cannot define Phase 17 semantics
P17-L-062	gitops/production/service-sandbox-worker.yaml	service-sandbox-worker	NONE_TRACKED_OR_DECLARATIVE_SURFACE	DECLARATIVE_OR_NO_TRACKED_CALLERS	deployment, build, configuration, or network mechanics	deployment mechanics only	DIRECT	REUSE_MECHANICS_ONLY	mechanics/evidence may be reused but cannot define Phase 17 semantics
P17-L-063	gitops/staging/deployment-sandbox-worker.yaml	deployment-sandbox-worker	NONE_TRACKED_OR_DECLARATIVE_SURFACE	DECLARATIVE_OR_NO_TRACKED_CALLERS	deployment, build, configuration, or network mechanics	deployment mechanics only	DIRECT	REUSE_MECHANICS_ONLY	mechanics/evidence may be reused but cannot define Phase 17 semantics
P17-L-064	gitops/staging/networkpolicy-sandbox-worker.yaml	networkpolicy-sandbox-worker	NONE_TRACKED_OR_DECLARATIVE_SURFACE	DECLARATIVE_OR_NO_TRACKED_CALLERS	deployment, build, configuration, or network mechanics	deployment mechanics only	DIRECT	REUSE_MECHANICS_ONLY	mechanics/evidence may be reused but cannot define Phase 17 semantics
P17-L-065	gitops/staging/service-sandbox-worker.yaml	service-sandbox-worker	NONE_TRACKED_OR_DECLARATIVE_SURFACE	DECLARATIVE_OR_NO_TRACKED_CALLERS	deployment, build, configuration, or network mechanics	deployment mechanics only	DIRECT	REUSE_MECHANICS_ONLY	mechanics/evidence may be reused but cannot define Phase 17 semantics
P17-L-066	k8s/base/deployment-sandbox-worker.yaml	deployment-sandbox-worker	NONE_TRACKED_OR_DECLARATIVE_SURFACE	DECLARATIVE_OR_NO_TRACKED_CALLERS	deployment, build, configuration, or network mechanics	deployment mechanics only	DIRECT	REUSE_MECHANICS_ONLY	mechanics/evidence may be reused but cannot define Phase 17 semantics
P17-L-067	k8s/base/networkpolicy-sandbox-worker.yaml	networkpolicy-sandbox-worker	NONE_TRACKED_OR_DECLARATIVE_SURFACE	DECLARATIVE_OR_NO_TRACKED_CALLERS	deployment, build, configuration, or network mechanics	deployment mechanics only	DIRECT	REUSE_MECHANICS_ONLY	mechanics/evidence may be reused but cannot define Phase 17 semantics
P17-L-068	k8s/base/service-sandbox-worker.yaml	service-sandbox-worker	NONE_TRACKED_OR_DECLARATIVE_SURFACE	DECLARATIVE_OR_NO_TRACKED_CALLERS	deployment, build, configuration, or network mechanics	deployment mechanics only	DIRECT	REUSE_MECHANICS_ONLY	mechanics/evidence may be reused but cannot define Phase 17 semantics
P17-L-069	k8s/deployment-sandbox-worker.yaml	deployment-sandbox-worker	NONE_TRACKED_OR_DECLARATIVE_SURFACE	DECLARATIVE_OR_NO_TRACKED_CALLERS	deployment, build, configuration, or network mechanics	deployment mechanics only	DIRECT	REUSE_MECHANICS_ONLY	mechanics/evidence may be reused but cannot define Phase 17 semantics
P17-L-070	k8s/networkpolicy-sandbox-worker.yaml	networkpolicy-sandbox-worker	NONE_TRACKED_OR_DECLARATIVE_SURFACE	DECLARATIVE_OR_NO_TRACKED_CALLERS	deployment, build, configuration, or network mechanics	deployment mechanics only	DIRECT	REUSE_MECHANICS_ONLY	mechanics/evidence may be reused but cannot define Phase 17 semantics
P17-L-071	k8s/service-sandbox-worker.yaml	service-sandbox-worker	NONE_TRACKED_OR_DECLARATIVE_SURFACE	DECLARATIVE_OR_NO_TRACKED_CALLERS	deployment, build, configuration, or network mechanics	deployment mechanics only	DIRECT	REUSE_MECHANICS_ONLY	mechanics/evidence may be reused but cannot define Phase 17 semantics
P17-L-072	outbox-event-module/src/main/java/com/example/platform/outbox/coordination/LocalProcessExecutionBackend.java	LocalProcessExecutionBackend	outbox-event-module/src/main/java/com/example/platform/outbox/coordination/ExecutionBackend.java	CALLERS_DEPEND_ON_COMPONENT	delegates to canonical sandbox-isolation boundary or is an approved bounded environment probe	mechanics or probe evidence only; no sandbox authority	DIRECT	REUSE_MECHANICS_ONLY	retained surface is mechanics or probe only and does not own sandbox authority
