semantic_feature	internal_1_0_representation	timeline_document_representation	other_canonical_authority	roundtrip_preserved	current_conversion_path	loss_risk	i1_relevance	decision	evidence
effects	clip.effects (array) via mapEffects	effects as EffectInstance + EffectDefinition params to saveRevisionWithEffects	TimelineCandidate; EffectSemanticSnapshot (Option-B)	PARTIAL (extraction required)	adapter.mapEffects → candidate; canonical save accepts effects	MEDIUM	NOT_APPLICABLE_BEHAVIOR_DELETED	NOT_APPLICABLE_BEHAVIOR_DELETED	EffectInstance params
effect order	clip.effects array order	EffectInstance list order	EffectSemanticSnapshot	YES	adapter.mapEffects preserves order	LOW	NOT_APPLICABLE_BEHAVIOR_DELETED	NOT_APPLICABLE_BEHAVIOR_DELETED	effects list order
effect automation	clip.effects[].automation (if present)	EffectInstance.EffectDefinition automation fields (width unverified)	CanonicalAutomationCurve (canonicalmodel)	UNVERIFIED (EffectDefinition automation width not audited in this correction)	N/A (no migration path uses it)	MEDIUM	NOT_APPLICABLE_BEHAVIOR_DELETED	NOT_APPLICABLE_BEHAVIOR_DELETED (both I1 write behaviors deleted; no migration requires EffectDefinition automation mapping)	I1-EC-21: no migration path
transitions	composition.transitions (array) via mapTransition (TransitionCanonicalSemantics C9 first-class)	NO transitions field in TimelineDocument (TimelineDocumentCandidateMapper L48)	CanonicalTransition (canonicalmodel); TransitionCanonicalSemantics	NO (TimelineDocument cannot carry transitions)	adapter.mapTransition → TimelineCandidate only (validation)	HIGH	NOT_APPLICABLE_BEHAVIOR_DELETED	NOT_APPLICABLE_BEHAVIOR_DELETED (both I1 write behaviors deleted — AI-adopt and editor-sync; no migration needs transitions mapping; canonical future writes that need transitions require separate architecture decision, OUT OF I1 SCOPE)	TimelineDocumentCandidateMapper.java L48; I1 dispositions §4.1/§4.2
timeline automation	composition.automations (array) via mapAutomation (AutomationCanonicalSemantics C7/C8)	NO automations field in TimelineDocument	CanonicalAutomationCurve (canonicalmodel); AutomationCanonicalSemantics	NO	adapter.mapAutomation → TimelineCandidate only (validation)	HIGH	NOT_APPLICABLE_BEHAVIOR_DELETED	NOT_APPLICABLE_BEHAVIOR_DELETED (same as transitions)	TimelineDocumentCandidateMapper.java L48
semantic relationships	composition.semanticRelationships (if present)	TimelineDocument.semanticRelationships (List<SemanticRelationship>)	TimelineCandidate	YES	document mapper	LOW	NOT_APPLICABLE_BEHAVIOR_DELETED	NOT_APPLICABLE_BEHAVIOR_DELETED	semanticRelationships field
metadata	metadata object (merged via mergeMetadata)	TimelineDocument.metadata (TimelineMetadata)	TimelineCandidate	YES	adapter + mergeMetadata	LOW	NOT_APPLICABLE_BEHAVIOR_DELETED	NOT_APPLICABLE_BEHAVIOR_DELETED	TimelineMetadata
revision semantic context	NO (legacy write null context L167-170)	N/A	TimelineRevisionSemanticContextStore (Roadmap20)	NO (legacy write does not create context)	N/A	HIGH (legacy writes violate frozen invariant)	NOT_APPLICABLE_BEHAVIOR_DELETED	NOT_APPLICABLE_BEHAVIOR_DELETED (legacy write paths deleted; canonical save remains the only context-creating authority)	TimelineRevisionSaveService L250 storeTx
effect semantic snapshot reference	NO (legacy write no Effect snapshot binding)	N/A	EffectSemanticSnapshotStore (Option-B)	N/A	N/A	HIGH	NOT_APPLICABLE_BEHAVIOR_DELETED	NOT_APPLICABLE_BEHAVIOR_DELETED (same)	canonical saveWithEffects mints snapshot
artifact pins	artifact pins extracted + registered (L178-184)	pins via extractPinsFromDocument	ArtifactPinService	YES (both paths register same-tx)	legacy L178-184 vs canonical registerRevisionPins	LOW	NOT_APPLICABLE_BEHAVIOR_DELETED	NOT_APPLICABLE_BEHAVIOR_DELETED	both register same-tx
content digest	contentHasher.hashInternalTimeline (L128)	contentDigester.digest(document)	TimelineContentDigester	YES	legacy vs canonical digester	LOW	NOT_APPLICABLE_BEHAVIOR_DELETED	NOT_APPLICABLE_BEHAVIOR_DELETED	both compute hash
renderGraph or provider execution hints	internal-1.0 may carry render hints	NOT in TimelineDocument	RenderPlan/RenderGraph (derived at render time)	N/A (derived)	N/A	LOW	NOT_APPLICABLE_BEHAVIOR_DELETED	DERIVED_NON_AUTHORITATIVE (never authored canonical semantics; not preserved by any I1 path)	RenderPlan derivation
segment policy	segment-related legacy fields (SegmentTimelinePlanner)	NOT in TimelineDocument	RenderPlan (derived)	N/A	N/A	LOW	NOT_APPLICABLE_BEHAVIOR_DELETED	DERIVED_NON_AUTHORITATIVE	SegmentTimelinePlanner (I3 residue)
outputs/packaging hints	legacy packaging fields (if any)	NOT in TimelineDocument	Render/execution derived	N/A	N/A	LOW	NOT_APPLICABLE_BEHAVIOR_DELETED	DERIVED_NON_AUTHORITATIVE	legacy packaging
