path	symbol	authority_class	canonical_concept	current_authority	alternate_authority	runtime_reachable	delete_candidate	migration_required	risk_class	target_wave	evidence
timeline-module/src/main/java/com/example/platform/timeline/diff/calculation/CanonicalTimelineDiffCalculator.java	canonical diff	CORE_CANONICAL (NOT residue)	Timeline diff	canonical	—	YES	NO	NO	SAFE	—	canonical
render-module/src/main/java/com/example/platform/render/app/timeline/InternalTimelineAdapter.java	render-side legacy adapter	LEGACY_SERIALIZATION_PATH	Timeline (render-side)	legacy adapter	canonical render timeline path	YES (5+ callers)	PARTIAL	YES	P2	CFRH-I3	render-side legacy adapter
render-module/src/main/java/com/example/platform/render/app/timeline/InternalTimelineToEditorConverter.java	legacy editor converter	LEGACY_SERIALIZATION_PATH	Timeline editor projection	legacy converter	canonical editor projection	YES	YES	YES	P2	CFRH-I3	legacy editor conversion
render-module/src/main/java/com/example/platform/render/app/timeline/InternalTimelineMetadataEnricher.java	legacy enricher	LEGACY_SERIALIZATION_PATH	Timeline metadata	legacy enricher	canonical	YES	YES	YES	P2	CFRH-I3	legacy
render-module/src/main/java/com/example/platform/render/app/timeline/InternalTimelineAiProposals.java	legacy AI proposals	LEGACY_SERIALIZATION_PATH	Timeline AI edit	legacy AI path	canonical AI timeline services	YES	YES	YES	P2	CFRH-I3	legacy
render-module/src/main/java/com/example/platform/render/app/timeline/RenderTimelinePayloadCodec.java	legacy payload codec	LEGACY_SERIALIZATION_PATH	Timeline payload encode/decode	legacy codec	canonical TimelinePayloadCodec	YES	YES	YES	P2	CFRH-I3	legacy codec
render-module/src/main/java/com/example/platform/render/app/timeline/SegmentTimelinePlanner.java	legacy segment planner	LEGACY_SERIALIZATION_PATH	Timeline planning	legacy segment planner	canonical RenderPlan/RenderGraph	YES	YES	YES	P2	CFRH-I3	legacy planning
render-module/src/main/java/com/example/platform/render/app/timeline/SegmentPipelinePayloadBuilder.java	legacy pipeline payload	LEGACY_SERIALIZATION_PATH	Timeline pipeline	legacy builder	canonical	YES	YES	YES	P2	CFRH-I3	legacy
render-module/src/main/java/com/example/platform/render/app/timeline/TimelineConversionService.java	legacy conversion	LEGACY_SERIALIZATION_PATH	Timeline conversion	legacy	canonical	YES	YES	YES	P2	CFRH-I3	legacy
render-module/src/main/java/com/example/platform/render/app/timeline/TimelineEditorSyncService.java	editor sync (internal-1.0)	LEGACY_EDITOR_SYNC_PATH	Timeline editor sync	legacy internal-1.0 sync	canonical typed surface	YES	PARTIAL	YES	P2	CFRH-I3	explicit internal-1.0 schema usage (L41 storedSchema = internal-1.0)
platform-app/src/main/java/com/example/platform/web/render/TimelineEditorSyncController.java	editor sync controller	LEGACY_EDITOR_SYNC_PATH	Timeline editor sync API	legacy sync controller	canonical typed surface	YES	PARTIAL	YES	P2	CFRH-I3	internal-1.0 sync endpoints /push /pull /latest /sync
platform-app/src/main/java/com/example/platform/web/render/TimelineGitV1Controller.java	V1-named canonical API	CANONICAL_API_PROJECTION_WITH_VERSIONED_NAME	Timeline revision REST (canonical)	canonical services (save, current-revision, patch, diff, pinning)	—	YES	NO (retained)	NO	SAFE / PRODUCT_API_CLEANUP	—	depends ONLY on canonical services; NOT legacy semantic authority; name V1 is versioning label only
