fact_id	subject	claim	classification	revision_scope	logical_identity_authority	evidence	status
F12	WORKER_FABRIC_TYPED_PROVIDER_USE	ArtifactOutputCommitOrchestrator uses the typed provider beginWrite write and completeWrite mechanics and persists the returned objectId	CURRENT_CANONICAL_FACT	BASE_AND_FROZEN_H6	NO	Both snapshots contain identical blob aed3062d86d03409a9ad715a2b24c3af7e1ca8ef at worker-fabric-module/src/main/java/com/example/platform/workerfabric/reuse/ArtifactOutputCommitOrchestrator.java	CLASSIFIED
F13	STORAGE_OBJECT_LOCATION	com.example.platform.storage.contract.identity.StorageObjectLocation exists with typed provider namespace locator version and region fields	CURRENT_CANONICAL_FACT	BASE_AND_FROZEN_H6	NO	Both snapshots contain storage-module/src/main/java/com/example/platform/storage/contract/identity/StorageObjectLocation.java	CLASSIFIED
F14	STORAGE_REPLICA_RECORD	StorageValidationModel.StorageReplicaRecord exists and associates typed object replica and location semantics	CURRENT_CANONICAL_FACT	BASE_AND_FROZEN_H6	NO	Both snapshots contain storage-module/src/main/java/com/example/platform/storage/contract/validation/StorageValidationModel.java	CLASSIFIED
F15	FROZEN_H6_STORAGE_SPI_PARITY	Frozen H6 contains the same raw SPI typed SPI raw S3 stub InMemory provider AbstractOpenDalProvider and worker-fabric orchestrator blobs as canonical base	FROZEN_H6_FACT	FROZEN_H6	NO	Blob identities were compared between bd919f958bea79e57fe7fcb1cf1396eca96a0e9d and c91b90f4127163d0b6d6f4f84e4190a3a083c652	CLASSIFIED
F16	V1_STORAGE_OBJECT_TABLE	The V1 storage_object table combines id provider_code bucket and object_key in one row	CURRENT_CANONICAL_FACT	BASE_AND_FROZEN_H6	NO	platform-app/src/main/resources/db/migration/V1__initial_schema.sql defines the table in both snapshots	CLASSIFIED
F17	V1_STORAGE_OBJECT_AUTHORITY_OWNER	No current production repository was found owning or using the V1 storage_object table as canonical logical identity authority	CURRENT_CANONICAL_FACT	BASE_AND_FROZEN_H6	NO	Mechanical repository scan at both evidence snapshots found the schema definition but no production authority repository	CLASSIFIED
F18	V1_ARTIFACT_REPLICA_TABLE	The V1 artifact_replica table stores provider_id and storage_object_id with an Artifact foreign key but no Storage foreign key or semantic discriminator	CURRENT_CANONICAL_FACT	BASE_AND_FROZEN_H6	NO	platform-app/src/main/resources/db/migration/V1__initial_schema.sql defines the stated columns and constraints in both snapshots	CLASSIFIED
F19	CANONICAL_DATABASE_BINDING	No PostgreSQL instance was proven bound to canonical main by the decision-recovery evidence	CURRENT_CANONICAL_FACT	BASE_AND_FROZEN_H6	NO	The decision-recovery evidence contains no proven canonical database identity	CLASSIFIED
F20	PERSISTED_ROW_COUNTS	Canonical logical legacy physical encoded and ambiguous persisted row counts remain UNKNOWN until M0 binds and observes an authorized canonical database	CURRENT_CANONICAL_FACT	BASE_AND_FROZEN_H6	NO	No proven canonical database observation exists in the decision-recovery evidence	CLASSIFIED
F21	LOGICAL_ISSUANCE_APPLICATION_BOUNDARY_TARGET	Storage-owned logical identity issuance/application boundary owns canonical logical ID semantics	TARGET_MODEL	TARGET_V1	TARGET_ONLY	Frozen law STORAGE_APPLICATION_BOUNDARY_OWNS_LOGICAL_ID_ISSUANCE_V1	CLASSIFIED
F22	LOGICAL_ISSUANCE_APPLICATION_BOUNDARY_MATERIALIZATION	A Storage-owned logical identity issuance/application boundary is not materialized in either current snapshot	NOT_PRESENT	BASE_AND_FROZEN_H6	NOT_PRESENT	Repository inspection found typed provider mechanics but no application-level canonical issuance authority	CLASSIFIED
F23	MIGRATION_ADOPTION_OPERATION_TARGET	A migration-only Storage adoption operation accepts proven legacy placement and issues canonical identity plus receipt	TARGET_MODEL	TARGET_V1	TARGET_ONLY	The frozen migration model requires the bounded idempotent adoption operation	CLASSIFIED
F24	MIGRATION_ADOPTION_OPERATION_MATERIALIZATION	The migration-only Storage adoption operation is not present in either current snapshot	NOT_PRESENT	BASE_AND_FROZEN_H6	NOT_PRESENT	Repository inspection found no adoptLegacyPlacement-equivalent Storage application operation	CLASSIFIED
F25	NORMALIZED_STORAGE_AUTHORITY_TARGET	Normalized Storage-owned logical-object placement replica receipt and migration-journal persistence is required	TARGET_MODEL	TARGET_V1	TARGET_ONLY	The frozen schema decision is SCHEMA_MIGRATION_REQUIRED and generic JSON placement is forbidden	CLASSIFIED
F26	NORMALIZED_STORAGE_AUTHORITY_MATERIALIZATION	Normalized Storage-owned logical identity persistence authority adoption receipts and migration journal are not present in either current snapshot	NOT_PRESENT	BASE_AND_FROZEN_H6	NOT_PRESENT	The V1 schema lacks the target normalized authority receipt and journal materialization	CLASSIFIED
